  Household net adjusted disposable income INC,  Household net wealth WEA,  Employment rate,  Personal earnings LTE,  Quality of support network PER,  Educational attainment EDU,  Student skills SKI,  Years in education YED,  Water quality WQU,  Voter turnout VOL,  Self-reported health SRE,  Feeling safe walking alone at night ASR
0.6068008486725157,0.5215386168273743,0.78125,0.7331552612768519,0.7619047619047614,0.8076923076923077,0.7749999999999999,1.0,0.8333333333333333,1.0,0.9272727272727272,0.5
0.5944148173633809,0.2673018399683496,0.75,0.6941424325646137,0.714285714285714,0.8461538461538463,0.7083333333333335,0.5,0.8333333333333333,0.6595744680851063,0.6727272727272726,0.8653846153846154
0.5337175296748667,0.4273752577104292,0.53125,0.7166208946239796,0.6190476190476191,0.7307692307692308,0.7833333333333337,0.8333333333333335,0.4722222222222221,0.9148936170212767,0.7272727272727273,0.28846153846153855
0.5204426859338265,0.4629158027977172,0.6875,0.7357134795530642,0.7619047619047614,0.9615384615384617,0.9250000000000003,0.5,0.7777777777777779,0.4893617021276595,1.0,0.7115384615384615
0.40773987944123846,0.06560028401806671,0.25,0.19749068883789173,0.5238095238095233,0.48076923076923084,0.2666666666666666,0.5,0.0,0.042553191489361764,0.47272727272727266,0.0
0.40773987944123846,0.2839190092429493,0.3125,0.5182944853198042,0.1428571428571428,0.32692307692307687,0.0,0.0,0.5555555555555556,0.17021276595744683,0.8363636363636364,0.17307692307692302
0.007110499455243946,0.2839190092429493,0.21875,0.5182944853198042,0.23809523809523814,0.019230769230769273,0.07500000000000018,0.5945945945945947,0.6944444444444444,0.44680851063829796,0.709090909090909,0.11538461538461531
0.2980388783760537,0.2839190092429493,0.8125,0.2568564011888191,0.9047619047619047,1.0,0.7416666666666667,0.666666666666667,0.7499999999999998,0.36170212765957444,0.509090909090909,0.6923076923076923
0.5018923103388956,0.08193248305811347,0.8125,0.7938000827658853,0.8571428571428572,0.7692307692307694,0.7916666666666665,0.8333333333333335,0.8611111111111109,0.8510638297872342,0.6545454545454545,0.8461538461538463
0.21546533631515563,0.12690549089993586,0.8125,0.27256310898762276,0.8571428571428572,0.9423076923076923,0.9999999999999996,0.666666666666667,0.6666666666666667,0.4042553191489362,0.4181818181818182,0.7307692307692308
